Material,Value,Spell,Consumed?,Source,Pg.,Lvl.,Notes,School,Artificer,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard
"-If you find this spreadsheet valuable, I hope you'll visit Applesorcerer.com, where I've started publishing content for the DM's Guild and DriveThruRPG.","-Items in orange and italic are suggested prices; e.g., what a player might pay at a magical supplies store. These are a little subjective. (Also includes the word ""(suggested)"" now. Thanks, Vimes Carrot!) 
-Items with no marked price (""-"") must be harvested by the caster or acquired via special means.
-Items in normal black are the minimum value of the material that the spell requires in order to be successful!",-You seem like a person who likes materials. I have a whole podcast exploring the incredible true stories behind the materials we work with outside the realm of fantasy! I'd appreciate it if you visit episodictable.com to give it a listen.,,-,-,-1,"-If you have any suggestions, feel free to add a note directly to this spreadsheet! I'm interested in keeping this an up-to-date and useful resource for fellow DMs. Thanks!

2020-09-23: I have Kobold Press' Deep Magic in hand, but I'm so busy lately that I probably won't add those 600 spells (!) till sometime in 2021. Still happy to hear your suggestions, though!

2020-11-08: Added artificer spells and ""Official Spells w/o Material Components"" sheet.",-1,,,,,,,,,
[An Item Distasteful to the Target],-,Banishment,N,PHB,217,4,"Obviously, this is highly variable.",Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"Adamantine, small piece",500 gp,Invulnerability,Y,XGtE,160,9,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Adder's stomach,8 gp (suggested),Melf's Acid Arrow,N,PHB,259,2,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agate,"1,000 gp",Awaken,Y,PHB,216,5,,Transmutation,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agate,10 gp (suggested),Darkvision,N,PHB,230,2,May use dried carrot as a component instead.,Transmutation,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Alum soaked in vinegar,0.05 gp (5 cp) (suggested),Antipathy,N,PHB,214,8,"This component tastes extremely bitter, while the spell's other half (Sympathy) tastes extremely sweet (honeydrop). Very cool! Thanks, Elsa Fitzgerald!",Enchantment,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Amber, Glass, or Crystal Rod",20 gp (suggested),Chain Lightning,N,PHB,221,6,"Amber was noted for its ability to create static electricity. Thanks, Brandon Wallin!",Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"Amber, Glass, or Crystal Rod",20 gp (suggested),Lightning Bolt,N,PHB,255,3,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Ammunition,"0.10 gp (1 sp) per arrow, bolt, etc. (suggested)",Conjure Barrage,(DM's Discretion),PHB,225,3,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ammunition,"0.10 gp (1 sp) per arrow, bolt, etc. (suggested)",Conjure Volley,(DM's Discretion),PHB,226,5,,Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Ammunition,"0.10 gp (1 sp) per arrow, bolt, etc. (suggested)",Cordon of Arrows,(DM's Discretion),PHB,228,2,,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Artistic Representation of Caster,5 gp,Project Image,N,PHB,270,7,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Artistic Representation of Target,500 gp per hit die,Imprisonment,(DM's Discretion),PHB,252,9,"Also requires a ""special component"" depending on the version of Imprisonment chosen. See spell description.",Abjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Ash,0.05 gp (5 cp) (suggested),Create Homunculus,Y,XGtE,152,6,"Also requires Clay, Mandrake Root, and a jewel-encrusted dagger worth 1,000 gp.",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ashes of Mistletoe and Spruce,0.50 gp (5 sp) (suggested),Pass without Trace,(DM's Discretion),PHB,264,2,,Abjuration,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Bell (tiny),1 gp (suggested),Alarm,N,PHB,211,1,,Abjuration,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Bitumen (a drop),0.05 gp (5 cp) (suggested),Spider Climb,(DM's Discretion),PHB,277,2,"Bitumen is essentially the same thing as pitch -- a kind of tar or asphalt, sticky and thick petroleum. But the official books refer to them as separate materials, and so it is here, too.
Edit: J.F. Aster points out that pitch can be a plant product, and bitumen is specifically the petroleum product! Thanks!",Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Black Onyx Stone,150 gp,Create Undead,N,PHB,229,6,,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Black Pearl (as crushed powder),500 gp,Circle of Death,N,PHB,221,6,,Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Black Silk Square,2 gp (suggested),Negative Energy Flood,N,XGtE,163,5,Also requires a broken bone.,Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Blood (a drop),0.10 gp (1 sp) (suggested),Animate Dead,(DM's Discretion),PHB,212,3,,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Blood (a drop),0.10 gp (1 sp) (suggested),Bane,(DM's Discretion),PHB,216,1,,Enchantment,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Blood (a vial),-,Summon Greater Demon,N,XGtE,166,4,Blood must be from a humanoid killed in the past 24 hours.,Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Blood (a vial),-,Summon Lesser Demons,N,XGtE,167,3,Blood must be from a humanoid killed in the past 24 hours.,Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Bone,0.02 gp (2 cp) (suggested),Mordenkainen's Faithful Hound,N,PHB,261,4,"""Give the dog a bone."" Thanks, Janne!",Conjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bone dust,0.10 gp (1 sp) (suggested),Animate Dead,N,PHB,212,3,,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bone, Broken",1.50 gp (15 sp) (suggested),Negative Energy Flood,N,XGtE,163,5,Also requires a square of black silk.,Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Brimstone,0.10 gp (1 sp) (suggested),Flaming Sphere,N,PHB,242,2,"""Brimstone"" is synonymous with Sulfur, but for D&D purposes, it could imply hellish origin (which would obviously increase its value).",Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Brimstone,0.10 gp (1 sp) (suggested),Guards and Wards,N,PHB,248,6,"""Brimstone"" is synonymous with Sulfur, but for D&D purposes, it could imply hellish origin (which would obviously increase its value).",Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bull Hairs,0.50 gp (5 sp) (suggested),Tenser's Transformation,(DM's Discretion),XGtE,168,6,,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Butter,0.20 gp (2 sp) (suggested),Grease,(DM's Discretion),PHB,246,1,,Conjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Caterpillar Cocoon,5 gp (suggested),Mass Polymorph,N,XGtE,,,,Transmutation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Caterpillar Cocoon,5 gp (suggested),Polymorph,N,PHB,266,4,"You come out looking totally different. (Thanks, Ali St. James!)",Transmutation,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Chalks and Inks infused with precious gems,50 gp,Teleportation Circle,Y,PHB,282,5,,Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"Charcoal, Incense, and Herb mixture",10 gp,Find Familiar,Y,PHB,240,1,Must be consumed by fire in a brass brazier.,Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Chrysolite powder,50 gp (suggested),Mordenkainen's Private Sanctum,N,PHB,262,4,,Abjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Clay,0.10 gp (1 sp) (suggested),Conjure Elemental (Earth),N,PHB,225,5,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Clay,0.10 gp (1 sp) (suggested),Create Homunculus,Y,XGtE,152,6,"Also requires Ash, Mandrake Root, and a Jewel-Encrusted Dagger worth 1,000 gp.",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Clay,0.10 gp (1 sp) (suggested),Earthquake,N,PHB,236,8,,Evocation,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Clay,0.10 gp (1 sp) (suggested),Feeblemind,N,PHB,239,8,,Enchantment,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Clay,0.10 gp (1 sp) (suggested),Stone Shape,N,PHB,278,4,The clay must be worked into the desired shape of the stone object.,Transmutation,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Clay and Water,0.10 gp (1 sp) (suggested),Transmute Rock,(DM's Discretion),EEPC,21,5,"Also available in PotA pg. 240, XGtE pg. 169",Transmutation,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Clay Model of a Ziggurat,5 gp (suggested),Tongues,N,PHB,283,3,"Likely a reference to the Tower of Babel. (Thanks, Reuben Kendall!)",Divination,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Clay Pot of Brackish Water,1 gp (suggested),Create Undead,N,PHB,229,6,,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Clay Pot of Grave Dirt,4 gp (suggested),Create Undead,N,PHB,229,6,,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Cloak, miniature",1 gp (suggested),Resistance,N,PHB,272,0,,Abjuration,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Cloth wad,0.02 gp (2 cp) (suggested),Mordenkainen's Private Sanctum,N,PHB,262,4,,Abjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
